Epoch	Train Loss	Val Loss	Train Acc	Val Acc	LR
1	0.8078	0.7468	0.5745	0.6029	0.001000000
2	0.7178	0.7015	0.6329	0.6588	0.001000000
3	0.6951	0.7050	0.6669	0.6324	0.001000000
4	0.6809	0.6992	0.6769	0.6588	0.001000000
5	0.6776	0.6800	0.6732	0.6824	0.001000000
6	0.6510	0.6670	0.6983	0.6941	0.001000000
7	0.6426	0.6413	0.7040	0.7147	0.001000000
8	0.6401	0.6965	0.7096	0.6588	0.001000000
9	0.6256	0.6573	0.7172	0.7088	0.001000000
10	0.6310	0.6805	0.6989	0.6706	0.001000000
11	0.6373	0.6474	0.7071	0.6971	0.001000000
12	0.6104	0.6480	0.7241	0.7000	0.001000000
13	0.6207	0.6416	0.7077	0.7059	0.000100000
14	0.6066	0.6151	0.7159	0.7324	0.000100000
15	0.6174	0.6340	0.7008	0.6882	0.000100000
16	0.6059	0.6195	0.7159	0.7294	0.000100000
17	0.5856	0.6509	0.7398	0.6706	0.000100000
18	0.6165	0.6573	0.7109	0.7029	0.000100000
19	0.5952	0.6282	0.7297	0.7265	0.000100000
20	0.5913	0.6505	0.7310	0.6706	0.000010000
21	0.6035	0.6328	0.7184	0.7029	0.000010000
22	0.5999	0.6325	0.7228	0.7176	0.000010000
23	0.5999	0.6492	0.7190	0.7029	0.000010000
24	0.6111	0.6305	0.7065	0.6941	0.000010000
25	0.5846	0.6562	0.7442	0.7147	0.000010000
26	0.5958	0.6262	0.7341	0.7118	0.000001000
27	0.6013	0.6478	0.7153	0.6971	0.000001000
28	0.6019	0.6639	0.7272	0.6676	0.000001000
29	0.5972	0.6176	0.7285	0.7059	0.000001000
