Epoch	Train Loss	Val Loss	Train Acc	Val Acc	LR
1	0.7750	0.7226	0.6128	0.6324	0.001000000
2	0.7046	0.6663	0.6618	0.6735	0.001000000
3	0.6858	0.6838	0.6675	0.6529	0.001000000
4	0.6661	0.6669	0.6706	0.6735	0.001000000
5	0.6523	0.6675	0.6970	0.7000	0.001000000
6	0.6536	0.6760	0.7084	0.6382	0.001000000
7	0.6488	0.6068	0.6989	0.6941	0.001000000
8	0.6238	0.6382	0.7153	0.7088	0.001000000
9	0.6544	0.6556	0.6845	0.6706	0.001000000
10	0.6457	0.6434	0.6914	0.6941	0.001000000
11	0.6074	0.6297	0.7146	0.7324	0.001000000
12	0.6498	0.6334	0.6901	0.7000	0.001000000
13	0.6533	0.6600	0.6794	0.6735	0.000100000
14	0.6227	0.6151	0.6964	0.7206	0.000100000
15	0.6362	0.6196	0.6864	0.6941	0.000100000
16	0.6334	0.6231	0.6964	0.7324	0.000100000
17	0.6081	0.5943	0.7165	0.7353	0.000100000
18	0.6115	0.5898	0.7190	0.7118	0.000100000
19	0.6215	0.6016	0.7115	0.7235	0.000100000
20	0.6141	0.6148	0.7190	0.7206	0.000100000
21	0.6104	0.6251	0.7178	0.7000	0.000100000
22	0.6110	0.6175	0.7197	0.7353	0.000100000
23	0.6142	0.6042	0.7040	0.7294	0.000100000
24	0.6163	0.6120	0.7140	0.7235	0.000010000
25	0.6077	0.5955	0.7304	0.7382	0.000010000
26	0.6195	0.6408	0.7033	0.7118	0.000010000
27	0.6256	0.6302	0.6983	0.7059	0.000010000
28	0.6238	0.6231	0.7021	0.6971	0.000010000
29	0.6319	0.6237	0.7021	0.7029	0.000010000
30	0.6064	0.6150	0.7165	0.7294	0.000001000
31	0.5849	0.6275	0.7322	0.7206	0.000001000
32	0.6377	0.5984	0.6744	0.7118	0.000001000
33	0.6184	0.6334	0.7033	0.7088	0.000001000
