Epoch	Train Loss	Val Loss	Train Acc	Val Acc	LR
1	0.7764	0.7346	0.5889	0.6294	0.001000000
2	0.7027	0.6836	0.6593	0.6941	0.001000000
3	0.6690	0.6582	0.6945	0.6882	0.001000000
4	0.6647	0.7162	0.6807	0.6235	0.001000000
5	0.6699	0.6651	0.6738	0.6706	0.001000000
6	0.6621	0.7110	0.6820	0.6324	0.001000000
7	0.6829	0.6325	0.6524	0.6765	0.001000000
8	0.6239	0.6071	0.7058	0.7559	0.001000000
9	0.6523	0.6776	0.6782	0.6735	0.001000000
10	0.6306	0.6447	0.7090	0.6912	0.001000000
11	0.6348	0.6270	0.6926	0.7324	0.001000000
12	0.6395	0.6498	0.7002	0.7000	0.001000000
13	0.6521	0.6220	0.6864	0.7206	0.001000000
14	0.6077	0.6026	0.7128	0.7118	0.001000000
15	0.6356	0.6708	0.6920	0.6735	0.001000000
16	0.6227	0.6340	0.7128	0.6941	0.001000000
17	0.6404	0.7354	0.6914	0.6588	0.001000000
18	0.6497	0.6359	0.6807	0.7088	0.001000000
19	0.6183	0.6206	0.7021	0.6912	0.001000000
20	0.6199	0.5755	0.7040	0.7412	0.001000000
21	0.6244	0.6470	0.7153	0.6941	0.001000000
22	0.6520	0.6317	0.6945	0.6971	0.001000000
23	0.6130	0.6029	0.7197	0.7000	0.001000000
24	0.6345	0.6333	0.7084	0.7088	0.001000000
25	0.6012	0.5870	0.7285	0.7000	0.001000000
26	0.5957	0.6440	0.7310	0.7000	0.000100000
27	0.6091	0.5982	0.7134	0.7147	0.000100000
28	0.6064	0.6220	0.7247	0.7147	0.000100000
29	0.6118	0.6007	0.7109	0.7294	0.000100000
30	0.6045	0.6237	0.7084	0.7118	0.000100000
31	0.6035	0.6067	0.7040	0.7382	0.000100000
32	0.5946	0.6078	0.7140	0.7265	0.000010000
33	0.6048	0.6229	0.7234	0.6824	0.000010000
34	0.6045	0.6046	0.7178	0.7353	0.000010000
35	0.5698	0.6416	0.7517	0.7206	0.000010000
