Epoch	Train Loss	Val Loss	Train Acc	Val Acc	LR
1	0.7979	0.7478	0.5720	0.5853	0.001000000
2	0.7124	0.7088	0.6512	0.6529	0.001000000
3	0.7039	0.7104	0.6512	0.6324	0.001000000
4	0.6809	0.6986	0.6882	0.6235	0.001000000
5	0.6866	0.6930	0.6782	0.6235	0.001000000
6	0.6719	0.6523	0.6681	0.6794	0.001000000
7	0.6759	0.6650	0.6688	0.6471	0.001000000
8	0.6796	0.6666	0.6757	0.6588	0.001000000
9	0.6449	0.7171	0.6989	0.6559	0.001000000
10	0.6475	0.6478	0.6832	0.6971	0.001000000
11	0.6438	0.9095	0.6939	0.5529	0.001000000
12	0.6834	0.6716	0.6656	0.6853	0.001000000
13	0.6435	0.6423	0.6914	0.6794	0.001000000
14	0.6177	0.6189	0.7058	0.6941	0.001000000
15	0.6457	0.6360	0.6920	0.7206	0.001000000
16	0.6538	0.7251	0.6901	0.6441	0.001000000
17	0.6690	0.6760	0.6813	0.6647	0.001000000
18	0.6420	0.6457	0.6845	0.6676	0.001000000
19	0.6713	0.6947	0.6644	0.6412	0.001000000
20	0.6551	0.6616	0.6845	0.7147	0.000100000
21	0.6090	0.6500	0.7272	0.7118	0.000100000
22	0.6186	0.6594	0.7002	0.6706	0.000100000
23	0.6161	0.6513	0.7121	0.6853	0.000100000
24	0.6132	0.6310	0.6996	0.7059	0.000100000
25	0.6097	0.6727	0.6983	0.6647	0.000100000
26	0.5953	0.6645	0.7209	0.6676	0.000010000
27	0.5957	0.6501	0.7335	0.7265	0.000010000
28	0.6043	0.6126	0.7121	0.7088	0.000010000
29	0.6002	0.6464	0.7027	0.6882	0.000010000
30	0.6006	0.6304	0.7216	0.7147	0.000010000
31	0.5854	0.6449	0.7335	0.7029	0.000010000
32	0.5867	0.6221	0.7115	0.7029	0.000010000
33	0.5944	0.6463	0.7322	0.6941	0.000010000
34	0.5928	0.6740	0.7253	0.6735	0.000001000
35	0.6177	0.6175	0.6996	0.7147	0.000001000
36	0.5912	0.6095	0.7247	0.7147	0.000001000
37	0.6064	0.6369	0.6989	0.7059	0.000001000
38	0.6056	0.5991	0.7222	0.7529	0.000001000
39	0.5941	0.6576	0.7222	0.6824	0.000001000
40	0.5948	0.5876	0.7241	0.7441	0.000001000
41	0.6179	0.6202	0.7071	0.6912	0.000001000
42	0.5829	0.6603	0.7392	0.6735	0.000001000
43	0.6012	0.6597	0.7128	0.6882	0.000001000
44	0.6062	0.6162	0.7121	0.7176	0.000001000
45	0.6074	0.6622	0.7109	0.6853	0.000001000
46	0.5902	0.6463	0.7266	0.6794	0.000000100
47	0.6130	0.6350	0.7096	0.7176	0.000000100
48	0.5888	0.6462	0.7253	0.7029	0.000000100
49	0.6086	0.6215	0.7128	0.7324	0.000000100
50	0.5950	0.6560	0.7140	0.6912	0.000000100
51	0.5875	0.6330	0.7247	0.7176	0.000000100
52	0.6094	0.6371	0.6939	0.7088	0.000000010
53	0.6119	0.6208	0.7084	0.7029	0.000000010
54	0.6036	0.6305	0.7172	0.7176	0.000000010
55	0.5816	0.6614	0.7272	0.6971	0.000000010
