Epoch	Train Loss	Val Loss	Train Acc	Val Acc	LR
1	0.8541	0.7423	0.5600	0.6147	0.001000000
2	0.8319	0.6958	0.5789	0.6618	0.001000000
3	0.7758	0.7431	0.6053	0.6235	0.001000000
4	0.7816	0.7557	0.6141	0.6265	0.001000000
5	0.8104	0.6935	0.5946	0.6647	0.001000000
6	0.7834	0.7086	0.5971	0.6647	0.001000000
7	0.7582	0.6733	0.6223	0.6735	0.001000000
8	0.8183	0.7125	0.5889	0.6206	0.001000000
9	0.7862	0.6814	0.6166	0.6706	0.001000000
10	0.7619	0.6847	0.6254	0.6706	0.001000000
11	0.7725	0.7434	0.6241	0.5853	0.001000000
12	0.7478	0.7477	0.6417	0.6176	0.001000000
13	0.7813	0.7006	0.6285	0.6824	0.000100000
14	0.7508	0.6869	0.6210	0.6412	0.000100000
15	0.7623	0.6988	0.6285	0.6765	0.000100000
16	0.7435	0.6943	0.6361	0.6353	0.000100000
17	0.7131	0.7292	0.6505	0.6412	0.000100000
18	0.7355	0.6688	0.6392	0.6765	0.000100000
19	0.7371	0.6752	0.6304	0.6882	0.000100000
20	0.7531	0.7186	0.6398	0.6441	0.000100000
21	0.7522	0.6721	0.6342	0.6647	0.000100000
22	0.7087	0.7110	0.6587	0.6706	0.000100000
23	0.7325	0.7055	0.6380	0.6647	0.000100000
24	0.7191	0.6946	0.6593	0.6706	0.000010000
25	0.7442	0.6911	0.6354	0.6676	0.000010000
26	0.7325	0.7003	0.6260	0.6412	0.000010000
27	0.7141	0.6944	0.6424	0.6500	0.000010000
28	0.7286	0.6507	0.6493	0.6853	0.000010000
29	0.7143	0.6580	0.6461	0.6794	0.000010000
30	0.7590	0.6841	0.6248	0.6971	0.000010000
31	0.7383	0.6718	0.6392	0.7147	0.000010000
32	0.7110	0.6785	0.6562	0.6882	0.000010000
33	0.7540	0.6714	0.6304	0.6765	0.000010000
34	0.7209	0.6623	0.6392	0.6941	0.000001000
35	0.7235	0.6496	0.6373	0.6941	0.000001000
36	0.7215	0.6799	0.6499	0.6471	0.000001000
37	0.7199	0.7000	0.6549	0.6500	0.000001000
38	0.7131	0.6880	0.6499	0.6912	0.000001000
39	0.7414	0.6886	0.6248	0.6441	0.000001000
40	0.7139	0.6866	0.6474	0.6735	0.000001000
41	0.7261	0.6935	0.6336	0.6765	0.000000100
42	0.6976	0.6894	0.6530	0.6471	0.000000100
43	0.7313	0.6728	0.6424	0.6647	0.000000100
44	0.7294	0.6859	0.6398	0.6765	0.000000100
45	0.7283	0.6922	0.6436	0.6676	0.000000100
46	0.7106	0.6870	0.6537	0.6676	0.000000100
47	0.7181	0.6907	0.6505	0.6471	0.000000010
48	0.7117	0.6766	0.6574	0.6941	0.000000010
49	0.7272	0.6950	0.6310	0.6559	0.000000010
50	0.7153	0.6845	0.6424	0.6794	0.000000010
